Rang,Réseau,Station,Trafic,Correspondance_1,Correspondance_2,Correspondance_3,Correspondance_4,Correspondance_5,Ville,Arrondissement,Année
7,Métro,REPUBLIQUE,11079708,3,5,8,9,11,Paris,11,2021
9,Métro,LA DEFENSE,9256802,1,,,,,Puteaux,0,2021
13,Métro,HOTEL DE VILLE,7251729,1,11,,,,Paris,4,2021
30,Métro,VILLEJUIF LOUIS ARAGON,5218070,7,,,,,Villejuif,0,2021
40,Métro,PALAIS ROYAL,4822599,1,7,,,,Paris,1,2021
54,Métro,BASILIQUE DE SAINT DENIS,3991395,13,,,,,Saint Denis,0,2021
76,Métro,PLAISANCE,3521753,13,,,,,Paris,14,2021
80,Métro,ODEON,3478491,4,10,,,,Paris,6,2021
86,Métro,CONCORDE,3401219,1,8,12,,,Paris,8,2021
92,Métro,CRETEIL PREFECTURE,3330602,8,,,,,Créteil,0,2021
94,Métro,LAUMIERE,3258568,5,,,,,Paris,19,2021
96,Métro,OBERKAMPF,3205110,5,9,,,,Paris,11,2021
99,Métro,FORT D'AUBERVILLIERS,3103518,7,,,,,Aubervilliers,0,2021
100,Métro,ALESIA,3098136,4,,,,,Paris,14,2021
101,Métro,PORTE DE BAGNOLET,3085790,3,,,,,Paris,20,2021
105,Métro,PASTEUR,3026286,6,12,,,,Paris,9,2021
113,Métro,MAIRIE DES LILAS,2894622,11,,,,,Les Lilas,0,2021
116,Métro,OURCQ,2862337,5,,,,,Paris,19,2021
121,Métro,ECOLE MILITAIRE,2805976,8,,,,,Paris,7,2021
123,Métro,VICTOR HUGO,2801041,2,,,,,Paris,16,2021
126,Métro,PORTE DE LA VILLETTE,2706288,7,,,,,Paris,19,2021
128,Métro,BOULOGNE JEAN JAURES,2700354,10,,,,,Boulogne Billancourt,0,2021
131,Métro,LEDRU ROLLIN,2570283,8,,,,,Paris,12,2021
137,Métro,ALEXANDRE DUMAS,2476608,2,,,,,Paris,11,2021
141,Métro,SAINT PLACIDE,2391205,4,,,,,Paris,6,2021
145,Métro,LOUISE MICHEL,2319185,3,,,,,Levallois Perret,0,2021
150,Métro,CENSIER DAUBENTON,2291843,7,,,,,Paris,6,2021
155,Métro,MALAKOFF PLATEAU DE VANVES,2242320,13,,,,,Malakoff,0,2021
158,Métro,GUY MOQUET,2205313,13,,,,,Paris,17,2021
161,Métro,BOULOGNE PONT DE SAINT CLOUD,2182738,10,,,,,Boulogne Billancourt,0,2021
172,Métro,ARGENTINE,2079212,1,,,,,Paris,17,2021
173,Métro,SIMPLON,2056501,4,,,,,Paris,18,2021
